9:10,4   ,BOX,3 1/2 REG    ,3 1/2 REG    ,4 3/4  ,120,6.25
9:10,4   ,BOX,3 1/2 IF     ,3 1/2 REG    ,4 3/4  ,120,6.25
2:3 ,10.5,BOX,3 1/2 REG    ,3 1/2 REG    ,5      ,127,8.14
2:3 ,10.5,BOX,3 1/2 NC 38  ,3 1/2 REG    ,5      ,127,8.14
5:6 ,5.2 ,BOX,3 1/2 REG    ,3 1/2 REG    ,5      ,127,8.23
5:6 ,5.2 ,BOX,3 1/2 NC 38  ,3 1/2 REG    ,5      ,127,8.23
5:6 ,8.3 ,BOX,3 1/2 REG    ,3 1/2 REG    ,5      ,127,8.14
5:6 ,8.3 ,BOX,3 1/2 NC 38  ,3 1/2 REG    ,5      ,127,8.14
5:6 ,4   ,BOX,4 1/2 REG    ,4 1/2 REG    ,5 1/2  ,140,6.03
5:6 ,4   ,BOX,4 1/2 XH     ,4 1/2 REG    ,5 1/2  ,140,6.03
1:2 ,4   ,BOX,4 1/2 API REG,4 1/2 REG    ,6 1/4  ,159,6.91
1:2 ,4   ,BOX,4 1/2 H-90   ,4 1/2 REG    ,6 1/4  ,159,6.91
1:2 ,4   ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 1/4  ,159,6.91
1:2 ,4   ,BOX,4 IF         ,4 1/2 REG    ,6 1/4  ,159,6.91
4:5 ,4.3 ,BOX,4 1/2 API REG,4 1/2 REG    ,6 1/4  ,159,6
4:5 ,4.3 ,BOX,4 1/2 H-90   ,4 1/2 REG    ,6 1/4  ,159,6
4:5 ,4.3 ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 1/4  ,159,6
4:5 ,4.3 ,BOX,4 IF         ,4 1/2 REG    ,6 1/4  ,159,6
4:5 ,7.5 ,BOX,4 1/2 API REG,4 1/2 REG    ,6 1/4  ,159,8.02
4:5 ,7.5 ,BOX,4 1/2 H-90   ,4 1/2 REG    ,6 1/4  ,159,8.02
4:5 ,7.5 ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 1/4  ,159,8.02
4:5 ,7.5 ,BOX,4 IF         ,4 1/2 REG    ,6 1/4  ,159,8.02
7:8 ,2.8 ,BOX,4 1/2 API REG,4 1/2 REG    ,6 1/4  ,159,6
7:8 ,2.8 ,BOX,4 1/2 H-90   ,4 1/2 REG    ,6 1/4  ,159,6
7:8 ,2.8 ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 1/4  ,159,6
7:8 ,2.8 ,BOX,4 IF         ,4 1/2 REG    ,6 1/4  ,159,6
7:8 ,4.8 ,BOX,4 1/2 API REG,4 1/2 REG    ,6 1/4  ,159,8.01
7:8 ,4.8 ,BOX,4 1/2 H-90   ,4 1/2 REG    ,6 1/4  ,159,8.01
7:8 ,4.8 ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 1/4  ,159,8.01
7:8 ,4.8 ,BOX,4 IF         ,4 1/2 REG    ,6 1/4  ,159,8.01
1:2 ,4   ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 1/2  ,165,6.43
1:2 ,4   ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 1/2  ,165,6.43
5:6 ,4   ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 1/2  ,165,6.43
5:6 ,4   ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 1/2  ,165,6.43
5:6 ,5   ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 1/2  ,165,7.16
5:6 ,5   ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 1/2  ,165,7.16
5:6 ,6   ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 1/2  ,165,8
5:6 ,6   ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 1/2  ,165,8
7:8 ,3   ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 1/2  ,165,6.43
7:8 ,3   ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 1/2  ,165,6.43
7:8 ,3   ,BOX,4 1/2 IF     ,4 1/2 REG    ,6 1/2  ,165,6.43
7:8 ,5   ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 1/2  ,165,6.43
7:8 ,5   ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 1/2  ,165,6.43
7:8 ,5   ,BOX,4 1/2 IF     ,4 1/2 REG    ,6 1/2  ,165,6.43
9:10,3   ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 1/2  ,165,8
9:10,3   ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 1/2  ,165,8
9:10,3.7 ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 1/2  ,165,8
9:10,3.7 ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 1/2  ,165,8
9:10,3.7 ,BOX,4 1/2 IF     ,4 1/2 REG    ,6 1/2  ,165,8
9:10,4   ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 1/2  ,165,6.43
9:10,4   ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 1/2  ,165,6.43
9:10,4   ,BOX,4 1/2 IF     ,4 1/2 REG    ,6 1/2  ,165,6.43
5:6 ,8.2 ,BOX,4 1/2 API REG,4 1/2 REG    ,6 1/2  ,165,9.32
5:6 ,8.2 ,BOX,4 1/2 H-90   ,4 1/2 REG    ,6 1/2  ,165,9.32
5:6 ,8.2 ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 1/2  ,165,9.32
5:6 ,8.2 ,BOX,4 IF         ,4 1/2 REG    ,6 1/2  ,165,9.32
5:6 ,8.2 ,BOX,4 1/2 IF     ,4 1/2 REG    ,6 1/2  ,165,9.32
7:8 ,2   ,BOX,4 1/2 API REG,4 1/2 REG    ,6 1/2  ,165,6.97
7:8 ,2   ,BOX,4 1/2 H-90   ,4 1/2 REG    ,6 1/2  ,165,6.97
7:8 ,2   ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 1/2  ,165,6.97
7:8 ,2   ,BOX,4 1/2 IF     ,4 1/2 REG    ,6 1/2  ,165,6.97
1:2 ,4   ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 3/4  ,172,6.63
