ROTATIVO RECTO CORTO  ,NEAR BIT    ,NC61     ,NC61     ,17 1/2,3    ,4.27
ROTATIVO RECTO CORTO  ,NEAR BIT    ,7 5/8 REG,7 5/8 REG,17 1/2,3    ,4.27
ROTATIVO RECTO CORTO  ,NEAR BIT    ,NC61     ,7 5/8 REG,17 1/2,3    ,4.27
ROTATIVO RECTO CORTO  ,NEAR BIT    ,7 5/8 REG,NC61     ,17 1/2,3    ,4.27
ROTATIVO RECTO LARGO  ,DRILL STRING,NC38     ,NC38     ,6     ,2    ,5.25
ROTATIVO RECTO LARGO  ,DRILL STRING,NC38     ,NC38     ,6 1/4 ,2    ,5.25
ROTATIVO RECTO LARGO  ,DRILL STRING,NC38     ,NC38     ,6 1/2 ,2    ,5.25
ROTATIVO RECTO LARGO  ,DRILL STRING,NC46     ,NC46     ,7 1/2 ,2 1/4,5.91
ROTATIVO RECTO LARGO  ,DRILL STRING,NC46     ,NC46     ,7 7/8 ,2 1/4,5.91
ROTATIVO RECTO LARGO  ,DRILL STRING,NC46     ,NC46     ,8 3/8 ,2 1/4,6.56
ROTATIVO RECTO LARGO  ,DRILL STRING,NC46     ,NC46     ,8 1/2 ,2 4/5,6.56
ROTATIVO RECTO LARGO  ,DRILL STRING,NC46     ,NC46     ,8 3/4 ,2 4/5,6.56
ROTATIVO RECTO LARGO  ,DRILL STRING,NC50     ,NC50     ,8 3/8 ,2 1/4,6.56
ROTATIVO RECTO LARGO  ,DRILL STRING,NC50     ,NC50     ,8 1/2 ,2 4/5,6.56
ROTATIVO RECTO LARGO  ,DRILL STRING,NC50     ,NC50     ,8 3/4 ,2 4/5,6.56
ROTATIVO RECTO LARGO  ,DRILL STRING,NC46     ,NC50     ,8 3/8 ,2 1/4,6.56
ROTATIVO RECTO LARGO  ,DRILL STRING,NC46     ,NC50     ,8 1/2 ,2 4/5,6.56
ROTATIVO RECTO LARGO  ,DRILL STRING,NC46     ,NC50     ,8 3/4 ,2 4/5,6.56
ROTATIVO RECTO LARGO  ,DRILL STRING,NC50     ,NC46     ,8 3/8 ,2 1/4,6.56
ROTATIVO RECTO LARGO  ,DRILL STRING,NC50     ,NC46     ,8 1/2 ,2 4/5,6.56
ROTATIVO RECTO LARGO  ,DRILL STRING,NC50     ,NC46     ,8 3/4 ,2 4/5,6.56
ROTATIVO RECTO LARGO  ,DRILL STRING,NC50     ,NC50     ,9 1/2 ,2 4/5,6.56
ROTATIVO RECTO LARGO  ,DRILL STRING,NC50     ,NC50     ,9 5/8 ,2 4/5,6.56
ROTATIVO RECTO LARGO  ,DRILL STRING,NC50     ,NC50     ,9 7/8 ,2 4/5,6.56
ROTATIVO RECTO LARGO  ,DRILL STRING,NC56     ,NC56     ,12 1/4,3    ,6.56
ROTATIVO RECTO LARGO  ,DRILL STRING,6 5/8 REG,6 5/8 REG,12 1/4,3    ,6.56
ROTATIVO RECTO LARGO  ,DRILL STRING,NC56     ,6 5/8 REG,12 1/4,3    ,6.56
ROTATIVO RECTO LARGO  ,DRILL STRING,6 5/8 REG,NC56     ,12 1/4,3    ,6.56
ROTATIVO RECTO LARGO  ,DRILL STRING,NC61     ,NC61     ,17 1/2,3    ,7.22
ROTATIVO RECTO LARGO  ,DRILL STRING,7 5/8 REG,7 5/8 REG,17 1/2,3    ,7.22
ROTATIVO RECTO LARGO  ,DRILL STRING,NC61     ,7 5/8 REG,17 1/2,3    ,7.22
ROTATIVO RECTO LARGO  ,DRILL STRING,7 5/8 REG,NC61     ,17 1/2,3    ,7.22
ROTATIVO RECTO LARGO  ,NEAR BIT    ,NC38     ,3 1/2 REG,6     ,2    ,4.59
ROTATIVO RECTO LARGO  ,NEAR BIT    ,NC38     ,3 1/2 REG,6 1/4 ,2    ,4.59
ROTATIVO RECTO LARGO  ,NEAR BIT    ,NC38     ,3 1/2 REG,6 1/2 ,2    ,4.59
ROTATIVO RECTO LARGO  ,NEAR BIT    ,NC46     ,4 1/2 REG,7 1/2 ,2 1/4,5.25
ROTATIVO RECTO LARGO  ,NEAR BIT    ,NC46     ,4 1/2 REG,7 7/8 ,2 1/4,5.25
ROTATIVO RECTO LARGO  ,NEAR BIT    ,NC46     ,4 1/2 REG,8 3/8 ,2 1/4,5.91
ROTATIVO RECTO LARGO  ,NEAR BIT    ,NC46     ,4 1/2 REG,8 1/2 ,2 4/5,5.91
